"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","present","setSize","conjuction","task","correct","stimulus"
"","null","html-keyboard-response","152","239309","0.0-1.0-1.75","null","","","","","","Correct!"
"","475","canvas-keyboard-response","153","240297","0.0-1.0-0.76","f","true","10","false","response","true",""
"","null","html-keyboard-response","154","241809","0.0-1.0-1.76","null","","","","","","Correct!"
"","1173","canvas-keyboard-response","155","243492","0.0-1.0-0.77","f","false","40","true","response","false",""
"","null","html-keyboard-response","156","245005","0.0-1.0-1.77","null","","","","","","Wrong"
"","538","canvas-keyboard-response","157","246056","0.0-1.0-0.78","f","true","20","false","response","true",""
"","null","html-keyboard-response","158","247570","0.0-1.0-1.78","null","","","","","","Correct!"
"","1218","canvas-keyboard-response","159","249297","0.0-1.0-0.79","j","false","40","true","response","true",""
"","null","html-keyboard-response","160","250809","0.0-1.0-1.79","null","","","","","","Correct!"
"","620","canvas-keyboard-response","161","251937","0.0-1.0-0.80","f","true","20","false","response","true",""
"","null","html-keyboard-response","162","253451","0.0-1.0-1.80","null","","","","","","Correct!"
"","1669","canvas-keyboard-response","163","255626","0.0-1.0-0.81","j","false","30","true","response","true",""
"","null","html-keyboard-response","164","257141","0.0-1.0-1.81","null","","","","","","Correct!"
"","674","canvas-keyboard-response","165","258327","0.0-1.0-0.82","f","true","40","false","response","true",""
"","null","html-keyboard-response","166","259844","0.0-1.0-1.82","null","","","","","","Correct!"
"","819","canvas-keyboard-response","167","261177","0.0-1.0-0.83","j","false","20","true","response","true",""
"","null","html-keyboard-response","168","262691","0.0-1.0-1.83","null","","","","","","Correct!"
"","643","canvas-keyboard-response","169","263847","0.0-1.0-0.84","f","true","10","false","response","true",""
"","null","html-keyboard-response","170","265364","0.0-1.0-1.84","null","","","","","","Correct!"
"","879","canvas-keyboard-response","171","266756","0.0-1.0-0.85","f","true","10","true","response","true",""
"","null","html-keyboard-response","172","268276","0.0-1.0-1.85","null","","","","","","Correct!"
"","1133","canvas-keyboard-response","173","269922","0.0-1.0-0.86","j","false","30","false","response","true",""
"","null","html-keyboard-response","174","271432","0.0-1.0-1.86","null","","","","","","Correct!"
